all_cc_inx,VAdjMat,MDEC.12,nAtomLAC,nAtomLC,khs.ssCH2,Kier1,Kier2,FMF,VP.1,C2SP3,nAtom,nAcid,mz,CCS,pred_CCS,delta_CCS_N_N_pred,relative_error,compound_class,pubchem_cid,adducts,cluster_inx
all-cc-2803,-0.9282210997156708,-0.886552110506386,-0.7099263432370679,-0.7210268635227811,-0.6603144286347851,-0.7287084040766785,-0.6515102872121419,-0.12915072414511405,-0.858799870164016,-0.4104250045315115,-0.7244317809174239,-0.6711111967386733,-0.7230100552483351,154.7607715,154.93195469834862,-0.17118319834864335,0.001106114919753055,Metabolites,439281,[M+Na]+,15
all-cc-1408,0.894527181549138,0.4550887841082317,1.5832141547000431,1.7314345080807088,2.050853006364698,1.0740456282770765,1.554757857112471,-1.3700239983779217,1.3001322179316237,2.148606173684444,1.403126256728514,-0.6711111967386733,0.8128065819081283,267.9,269.2026265007897,-1.3026265007896995,0.004862360958528181,Lipids and lipid-like molecules,Cer(38:0),[M+H]+,21
all-cc-2784,-0.8112296324267241,-0.9284064440864525,-0.3823348435317664,-0.7210268635227811,-0.6603144286347851,-0.6666608502557491,-0.5995434032583292,-0.20670530378466465,-0.8624224013699321,-0.5810270830792418,-0.7722420738982314,0.5023287400738573,-0.8057502231498246,157.66666669999995,148.76143995777133,8.905226742228708,0.05648135353284985,Metabolites,89,[M+H]+,2
all-cc-1864,0.2668188867536852,-0.20837601928446367,0.10905240602618606,-0.3827563295085066,-0.06724655222864802,-0.3389416361047039,-0.5459931143749198,0.6583265460410911,-0.0734271855870295,-0.06922084743605088,-0.15070826514773275,-0.6711111967386733,-0.1169752464799647,204.0911864,189.8122059367077,14.278980463292301,0.0699637290328981,Lipids and lipid-like molecules,5839,[M+Na]+,56
all-cc-2939,-1.3327220244993079,-0.9284064440864525,-0.3823348435317664,-0.7210268635227811,-0.2366945169161157,-0.9145914523435734,-0.6334017180962656,-0.07744767105207923,-0.6329900902922793,-0.2398229259837812,-0.8200523668790392,0.5023287400738573,-0.9627948457300032,133.8096514,139.74026821169065,-5.9306168116906415,0.04432129334200358,Metabolites,6112,[M+H-H2O]+,2
all-cc-241,-1.1876255200946633,-0.9284064440864525,-0.8737220930897188,-0.7210268635227811,-0.6603144286347851,-0.8526836902435158,-0.6290329219635208,0.061752856506088666,-0.9759408727334252,-0.7516291616269721,-0.9156729528406542,0.5023287400738573,-1.001894816645321,146.8183066,137.46613838987543,9.352168210124574,0.06369892438280292,Metabolites,464,[M+H]+,2
all-cc-1396,1.325363754088644,2.591766476562261,1.3648198221091616,1.9005697750878456,2.050853006364698,1.7594244654622606,1.8020794374785447,-1.3700239983779217,1.8720567458666009,1.7221009773151172,1.8812291865365889,0.5023287400738573,1.5796882599059203,293.2,290.9374546722718,2.262545327728162,0.007716730312851848,Lipids and lipid-like molecules,PCe(36:2),[M+H]+,61
all-cc-488,0.3282735374646281,-0.5504842183115034,0.2728481558788369,-0.4673239630120752,-0.2366945169161157,-0.41786487084824575,-0.5235873677697082,1.1355854976690944,-0.09180282808331937,-0.2398229259837812,-0.1985185581285404,-0.6711111967386733,-0.2388811542672857,183.469166950308,185.03222087112846,-1.5630539208204652,0.00851943651787449,Drug and Drug-Like Compounds,643606,[M+H]+,56
all-cc-832,-0.9282210997156708,-0.4236036623533249,-1.0375178429423697,-0.8055944970263498,-0.4061424816035834,-0.8876609101551809,-0.6646601577022953,1.2889901606923797,-0.7917337294140747,-0.7516291616269721,-0.7244317809174239,-0.6711111967386733,-0.9449613214054272,140.466497849145,141.64842333198686,-1.1819254828418764,0.008414287399058057,Drug and Drug-Like Compounds,1346,[M+H]+,15
all-cc-716,-0.7013330414431199,0.02393672289907841,-0.3823348435317664,-0.5518915965156439,-0.6603144286347851,-0.7667107453898313,-0.6374011740143147,0.5688404926108401,-0.7291112280325692,-0.7516291616269721,-0.6766214879366163,-0.6711111967386733,-0.8404499724319879,140.01975420771,148.34043629090118,-8.320682083191201,0.05942505848744758,Drug and Drug-Like Compounds,3032818,[M+H]+,15
all-cc-853,-1.1876255200946633,-0.4099002191887369,-1.0375178429423697,-0.6364592300192125,-0.32141849925984955,-0.6705550481943012,-0.5700082170521212,-1.3700239983779217,-0.6923677787730341,-0.4104250045315115,-0.6766214879366163,0.5023287400738573,-0.8143586224742119,146.058997664203,149.5250961656555,-3.4660985014525068,0.02373081122616795,Drug and Drug-Like Compounds,119565,[M+H]+,96
all-cc-2933,-0.5977197793916199,-0.8551613603213363,-0.8737220930897188,-0.6364592300192125,-0.6603144286347851,-0.7059393652655901,-0.6544141856524162,0.4547896401997362,-0.7833265463136155,-0.5810270830792418,-0.7244317809174239,-0.6711111967386733,-0.7403035919869223,154.0949317,152.3985304777296,1.6964012222703957,0.01100880608826926,Metabolites,252,[M+H]+,15
